name,category_1,category_2,address,city,zipcode,phone,price,rating,review_count,hours_sun_open,hours_sun_close,hours_mon_open,hours_mon_close,hours_tue_open,hours_tue_close,hours_wed_open,hours_wed_close,hours_thu_open,hours_thu_close,hours_fri_open,hours_fir_close,hours_sat_open,hours_sat_close,6
Mariscos La Corita,mexican,seafood,4504 Avalon Blvd,Los Angeles,90011,3232351152.0,2.0,4.5,75,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,,,
Nekter Juice Bar,juice bars & smoothies,gluten-free,850 W 37th St,Los Angeles,90089,2137405988.0,2.0,3.0,66,730.0,1930.0,730.0,1930.0,730.0,1930.0,730.0,1930.0,730.0,1800.0,,,,,
Seree's Coffee Shop,breakfast & brunch,chinese,2800 S Grand Ave,Los Angeles,90007,2137478233.0,1.0,4.5,67,700.0,1500.0,700.0,1500.0,700.0,1500.0,700.0,1500.0,700.0,1500.0,700.0,1400.0,,,
Sonsonate Grill,latin american,,4350 S Avalon Blvd,Los Angeles,90003,3232331333.0,2.0,2.5,79,900.0,2130.0,900.0,2130.0,900.0,2130.0,900.0,2130.0,900.0,2200.0,900.0,2200.0,900.0,2130.0,
Burger Plaza Grill,burgers,sandwiches,3655 S Grand Ave,Los Angeles,90007,2137659787.0,1.0,4.5,60,800.0,1800.0,800.0,1800.0,800.0,1800.0,800.0,1800.0,800.0,1800.0,800.0,1800.0,800.0,1800.0,
IHOP,american (traditional),breakfast & brunch,1880 W Slauson Ave,Los Angeles,90047,3232964465.0,2.0,2.5,72,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2200.0,
Porto's Bakery & Cafe,bakeries,cuban,315 N Brand Blvd,Glendale,91203,8189565996.0,1.0,4.5,7065,630.0,2000.0,630.0,2000.0,630.0,2000.0,630.0,2000.0,630.0,2000.0,630.0,2000.0,700.0,1900.0,
The Oinkster,burgers,fast food,2005 Colorado Blvd,Los Angeles,90041,3232556465.0,2.0,4.0,3303,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2300.0,1100.0,2300.0,1100.0,2200.0,
Raffi's Place,middle eastern,persian/iranian,211 E Broadway,Glendale,91205,8182407411.0,2.0,4.5,3122,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2100.0,
Din Tai Fung,shanghainese,dim sum,177 Caruso Ave,Glendale,91210,8185515561.0,2.0,4.0,2531,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1000.0,2200.0,1000.0,2100.0,
Granville,american (new),breakfast & brunch,807 Americana Way,Glendale,91210,8185500472.0,2.0,4.0,1802,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2300.0,1000.0,2300.0,1000.0,2200.0,
Foxy's Restaurant,american (new),breakfast & brunch,206 W Colorado St,Glendale,91204,8182460244.0,2.0,4.0,1733,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2300.0,600.0,2400.0,600.0,2400.0,600.0,2200.0,
Frida Restaurant,mexican,,750 Americana Way,Glendale,91210,8185511666.0,2.0,3.0,1530,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2300.0,1100.0,2300.0,1030.0,2200.0,
Katsuya Glendale,japanese,sushi bars,702 Americana Way,Glendale,91210,8182445900.0,2.0,2.5,1405,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2200.0,1130.0,2200.0,1130.0,2100.0,
The Cheesecake Factory,desserts,american (traditional),511 Americana Way,Glendale,91210,8185507505.0,2.0,3.0,1339,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1100.0,30.0,1000.0,30.0,1000.0,2300.0,
Vegas Seafood Buffet,buffets,seafood,110 S Brand Blvd,Glendale,91204,8186629011.0,2.0,3.5,1233,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,1130.0,2230.0,
Carnitas Michoacan,mexican,,1901 N Broadway,Los Angeles,90031,3232252729.0,1.0,4.0,1070,,,,,,,,,,,,,,,
Spitz - Eagle Rock,sandwiches,bars,2506 Colorado Blvd,Los Angeles,90041,3232575600.0,2.0,4.0,1095,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,
Home Restaurant Silverlake,american (new),breakfast & brunch,2500 Riverside Dr,Los Angeles,90039,3236650211.0,2.0,3.5,1064,900.0,2200.0,900.0,2200.0,900.0,2200.0,900.0,2200.0,900.0,2300.0,800.0,2300.0,800.0,2200.0,
Aqui Es Texcoco,mexican,latin american,5850 S Eastern Ave,Commerce,90040,3237251429.0,2.0,3.0,250,800.0,2100.0,800.0,2100.0,800.0,2100.0,800.0,2100.0,800.0,2100.0,800.0,2100.0,800.0,2100.0,
Farmer Boys,breakfast & brunch,,6315 Telegraph Rd,Commerce,90040,3237275000.0,1.0,3.0,220,500.0,100.0,500.0,100.0,500.0,100.0,500.0,100.0,500.0,100.0,500.0,100.0,500.0,100.0,
Sergio's Tacos,mexican,,2216 S Atlantic Blvd,Los Angeles,90040,3232613364.0,1.0,3.5,205,700.0,2300.0,700.0,2300.0,700.0,2300.0,700.0,2300.0,700.0,2300.0,700.0,2300.0,700.0,2300.0,
Nibi Pho Bistro,vietnamese,,150 Citadel Dr,Commerce,90040,3238888526.0,2.0,2.5,148,,,,,,,,,,,,,,,
New York Slicers,delis,,4848 S Eastern Ave,Commerce,90040,3237271000.0,1.0,4.5,142,1000.0,1500.0,1000.0,1500.0,1000.0,1500.0,1000.0,1500.0,1000.0,1500.0,,,,,
The Mediterranean Kitchen,mediterranean,middle eastern,2480 S Atlantic Blvd,Commerce,90040,3233182827.0,2.0,4.5,145,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1900.0,900.0,1845.0,,,
Lamajoon Shish Kabob,mediterranean,,150 Citadel Dr,Los Angeles,90040,3237277102.0,1.0,3.0,120,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,
Basket Burger Cafe,american (traditional),,1264 S Atlantic Blvd,Los Angeles,90022,3232696823.0,1.0,4.5,120,600.0,1400.0,600.0,1400.0,600.0,1400.0,600.0,1400.0,600.0,1400.0,600.0,1400.0,,,
Sergio's Tacos,mexican,,6601 E Olympic Blvd,Los Angeles,90022,3237262002.0,1.0,2.5,104,700.0,2300.0,700.0,2300.0,700.0,2300.0,700.0,2300.0,700.0,2300.0,700.0,2300.0,700.0,2300.0,
El Cafetalito,salvadoran,,5300 E Washington Blvd,Commerce,90040,3232682837.0,2.0,4.5,97,800.0,2100.0,800.0,2100.0,800.0,2100.0,800.0,2100.0,800.0,2100.0,800.0,2100.0,800.0,2100.0,
Roll It Sushi & Teriyaki,japanese,sushi bars,100 Citadel Dr,Los Angeles,90040,3237251470.0,1.0,3.0,92,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,1000.0,2100.0,
Lee's Sandwiches,sandwiches,vietnamese,5201 E Washington Blvd,Commerce,90040,3232610358.0,1.0,3.0,90,700.0,1900.0,700.0,1900.0,700.0,1900.0,700.0,1900.0,700.0,1900.0,1000.0,1900.0,1000.0,1900.0,
The Arena Sports Bar & Grill,american (traditional),sports bars,6131 Telegraph Rd,Commerce,90040,3237212100.0,2.0,3.5,93,1100.0,2400.0,1100.0,130.0,1100.0,130.0,1100.0,130.0,1100.0,130.0,1100.0,130.0,900.0,130.0,
Tacos El Sapo,food trucks,mexican,6250 E Olympic Blvd,Los Angeles,90022,3232003711.0,1.0,4.5,94,1600.0,2400.0,1600.0,2400.0,1600.0,2400.0,1600.0,30.0,1600.0,300.0,1600.0,300.0,1600.0,300.0,
Fish-O-Licious,seafood,fish & chips,4836 S Eastern Ave,Los Angeles,90040,3237260310.0,2.0,4.5,83,,,,,,,,,,,,,,,
The Green Olive,mediterranean,,4840 S Eastern Ave,Los Angeles,90040,3237217213.0,1.0,3.5,77,830.0,1600.0,830.0,1600.0,830.0,1600.0,830.0,1600.0,830.0,1600.0,,,,,
Gardunos,mexican,fast food,2206 W Whittier Blvd,Montebello,90640,3238878591.0,1.0,4.0,84,730.0,2200.0,730.0,2200.0,730.0,2200.0,730.0,2200.0,730.0,2200.0,800.0,2200.0,900.0,1900.0,
Fruitland,juice bars & smoothies,mexican,2319 W Whittier Blvd,Montebello,90640,3237214530.0,1.0,4.0,80,700.0,2000.0,700.0,2000.0,700.0,2000.0,700.0,2000.0,700.0,2000.0,900.0,1700.0,1000.0,1500.0,
Xris Burgers,burgers,mexican,5243 E Washington Blvd,Los Angeles,90040,3232642440.0,1.0,3.5,69,600.0,2200.0,500.0,2200.0,500.0,2200.0,500.0,2200.0,500.0,2200.0,500.0,1900.0,700.0,1700.0,
McDonald's,fast food,burgers,6350 E Washington Blvd,City Of Commerce,90040,3237225535.0,1.0,3.0,68,,,,,,,,,,,,,,,
Palaha Thai Food,thai,,4838 S Eastern Ave,Commerce,90040,3238385442.0,1.0,3.5,53,1000.0,1500.0,1000.0,1500.0,1000.0,1500.0,1000.0,1500.0,1000.0,1500.0,,,,,
Tacos El Charro,mexican,,5900 E Washington Blvd,Los Angeles,90040,3237201085.0,1.0,4.5,62,,,,,,,,,,,,,,,
Denny's,diners,american (traditional),5142 Triggs St,City Of Commerce,90022,3232642425.0,2.0,2.0,72,,,,,,,,,,,,,,,
Phenomnom Truck,food trucks,southern,1070 N Armando St,Anaheim,92806,9494381187.0,2.0,4.0,65,1100.0,1400.0,1700.0,2100.0,1100.0,1400.0,1100.0,1400.0,1700.0,2030.0,1100.0,2130.0,1100.0,1400.0,
Mariscos Los Lechugas,seafood,food trucks,5244 S Huntington Dr,Los Angeles,90032,3235373234.0,1.0,4.5,53,1100.0,1700.0,1100.0,1700.0,1100.0,1700.0,1100.0,1700.0,1100.0,1700.0,,,,,
Socal Caribbean,caribbean,food trucks,301 Pine Ave,Long Beach,90802,7148849566.0,1.0,4.5,60,2230.0,230.0,2230.0,230.0,,,,,,,,,,,
Pronto Cafe,cafes,coffee & tea,100 Citadel Dr,Commerce,90040,,1.0,2.5,52,,,,,,,,,,,,,,,
Billionaire Burger Boyz,food trucks,burgers,4343 Lemiert Blvd,Los Angeles,90016,3106923829.0,2.0,5.0,62,1800.0,2100.0,1200.0,1600.0,1800.0,2100.0,1200.0,1600.0,1800.0,2100.0,1300.0,1700.0,2000.0,2400.0,
Donut Friend,donuts,vegan,5107 York Blvd,Los Angeles,90042,2139956191.0,1.0,4.5,1676,700.0,2200.0,700.0,2200.0,700.0,2200.0,700.0,2400.0,700.0,2400.0,700.0,2200.0,,,
CaCao Mexicatessen,mexican,"beer, wine & spirits",1576 Colorado Blvd,Los Angeles,90041,3234782791.0,2.0,4.0,1309,1130.0,1500.0,1700.0,2100.0,1130.0,1500.0,1700.0,2100.0,1130.0,1500.0,1700.0,2100.0,1130.0,2200.0,
Cafe Beaujolais,french,,1712 Colorado Blvd,Los Angeles,90041,3232555111.0,2.0,4.5,1261,1700.0,2130.0,1700.0,2130.0,1700.0,2130.0,1700.0,2200.0,1700.0,2200.0,1700.0,2100.0,,,
Casa Bianca Pizza Pie,pizza,italian,1650 Colorado Blvd,Los Angeles,90041,3232569617.0,2.0,4.0,1178,1600.0,2400.0,1600.0,2400.0,1600.0,2400.0,1600.0,100.0,1600.0,100.0,,,,,
The York,bars,breakfast & brunch,5018 York Blvd,Los Angeles,90042,3232559675.0,2.0,3.5,970,1100.0,30.0,1100.0,30.0,1100.0,30.0,1100.0,30.0,1100.0,200.0,1030.0,200.0,1030.0,30.0,
Little Beast Restaurant,american (new),,1496 Colorado Blvd,Los Angeles,90041,3233415899.0,2.0,4.0,879,1700.0,2100.0,1700.0,2100.0,1700.0,2100.0,1700.0,2100.0,1700.0,2200.0,1700.0,2200.0,1700.0,2100.0,
Maximiliano,italian,vegetarian,5930 York Blvd,Los Angeles,90042,3237396125.0,2.0,4.0,859,1700.0,2200.0,1700.0,2200.0,1700.0,2200.0,1700.0,2200.0,1700.0,2300.0,1000.0,2300.0,1000.0,2200.0,
Señor Fish,mexican,seafood,4803 Eagle Rock Blvd,Los Angeles,90041,3232577167.0,2.0,4.0,758,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,800.0,2100.0,800.0,2100.0,800.0,2100.0,
Huarache Azteca Restaurante,mexican,latin american,5225 York Blvd,Los Angeles,90042,3234789572.0,1.0,4.0,725,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,
Polka Polish Restaurant,polish,,4112 Verdugo Rd,Los Angeles,90065,3232557887.0,2.0,4.0,707,1100.0,1500.0,1700.0,2100.0,1100.0,1500.0,1700.0,2100.0,1100.0,1500.0,1700.0,2100.0,1100.0,2100.0,
Zankou Chicken,mediterranean,armenian,1415 E Colorado St,Glendale,91205,8182442237.0,2.0,4.0,674,1000.0,2300.0,1000.0,2300.0,1000.0,2300.0,1000.0,2300.0,1000.0,2300.0,1000.0,2300.0,1000.0,2300.0,
Four Cafe,american (new),sandwiches,2122 Colorado Blvd,Los Angeles,90041,3235501988.0,2.0,4.0,677,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,900.0,2100.0,900.0,2100.0,
Fusion Burgers,burgers,american (traditional),5933 York Blvd,Los Angeles,90042,3232578705.0,2.0,4.0,666,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2100.0,
Max City BBQ,caterers,barbeque,4729 Eagle Rock Blvd,Los Angeles,90041,3232544227.0,2.0,4.0,687,1130.0,2100.0,1700.0,2100.0,1130.0,2100.0,1130.0,2100.0,1130.0,2200.0,1130.0,2200.0,1000.0,2100.0,
Kogi BBQ Truck - Verde,barbeque,korean,,Los Angeles,90041,3233150253.0,1.0,4.0,579,1130.0,1430.0,1800.0,2100.0,2200.0,2300.0,1130.0,1430.0,1800.0,2100.0,2200.0,2300.0,1130.0,1430.0,
Skaf's Lebanese Cuisine,lebanese,,367 N Chevy Chase Dr,Glendale,91206,8185515540.0,2.0,4.5,618,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1200.0,2100.0,,,,,
Mia Sushi,sushi bars,japanese,4741 Eagle Rock Blvd,Los Angeles,90041,3232562562.0,2.0,4.0,513,1700.0,2200.0,1700.0,2200.0,1700.0,2200.0,1700.0,2200.0,1700.0,2300.0,1700.0,2300.0,1700.0,2200.0,
Colorado Donuts,donuts,bakeries,1578 Colorado Blvd,Los Angeles,90041,3233401962.0,1.0,4.5,484,400.0,2300.0,400.0,2300.0,400.0,2300.0,400.0,2300.0,400.0,2300.0,400.0,2300.0,400.0,2300.0,
Taco Azteca,mexican,food stands,143 S Verdugo Rd,Glendale,91205,8182442131.0,1.0,4.0,485,900.0,2330.0,900.0,2330.0,900.0,2330.0,900.0,2330.0,900.0,2330.0,900.0,2330.0,900.0,2330.0,
The Highland Cafe,cafes,coffee & tea,5010 York Blvd,Los Angeles,90042,3232591000.0,2.0,3.5,472,800.0,1700.0,800.0,1700.0,800.0,1700.0,800.0,1700.0,800.0,1700.0,800.0,1700.0,800.0,1700.0,
Cindy's Eagle Rock,breakfast & brunch,diners,1500 Colorado Blvd,Los Angeles,90041,3232577375.0,2.0,4.0,478,700.0,1400.0,700.0,2100.0,700.0,2100.0,700.0,2100.0,700.0,2200.0,700.0,2200.0,700.0,2100.0,
Taco Spot,mexican,,2006 Colorado Blvd,Los Angeles,90041,3232567001.0,1.0,3.5,467,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,
Colombo's Italian Steakhouse & Jazz Club,italian,jazz & blues,1833 Colorado Blvd,Eagle Rock,90041,3232549138.0,2.0,3.5,449,800.0,2400.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2400.0,800.0,2400.0,800.0,2200.0,
The Capri Italian Restaurant,italian,pizza,4604 Eagle Rock Blvd,Los Angeles,90041,3232573225.0,2.0,4.0,443,1200.0,2300.0,1200.0,2300.0,1200.0,2300.0,1200.0,2400.0,1200.0,2400.0,1200.0,2300.0,,,
Eagle Rock Italian Bakery & Deli,bakeries,delis,1726 Colorado Blvd,Los Angeles,90041,3232558224.0,1.0,4.5,434,800.0,1800.0,800.0,1800.0,800.0,1800.0,800.0,1800.0,800.0,1800.0,800.0,1800.0,930.0,1300.0,
New York Famous Deli,delis,,2108 Colorado Blvd,Los Angeles,90041,3232553354.0,2.0,4.5,458,700.0,1700.0,700.0,1700.0,700.0,1700.0,700.0,1700.0,700.0,1700.0,700.0,1700.0,800.0,1600.0,
Two Guys From Italy,pizza,italian,405 N Verdugo Rd,Glendale,91206,8182400020.0,2.0,3.5,464,1100.0,2200.0,1100.0,2200.0,1100.0,2200.0,1100.0,2300.0,1100.0,2300.0,1100.0,2300.0,1200.0,2200.0,
TOWN Pizza,pizza,,5101 York Blvd,Los Angeles,90042,3233448696.0,1.0,4.0,434,1200.0,2300.0,1200.0,2300.0,1200.0,2300.0,1200.0,2300.0,1200.0,2300.0,1200.0,2300.0,1200.0,2300.0,
Organix,grocery,delis,1731 Colorado Blvd,Los Angeles,90041,3232540284.0,2.0,4.5,430,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,1000.0,1800.0,
Leo's Tacos,mexican,food trucks,4300 Eagle Rock Blvd,Los Angeles,90041,,1.0,4.0,352,,,,,,,,,,,,,,,
In-N-Out Burger,burgers,fast food,310 N Harvey Dr,Glendale,91206,8007861000.0,1.0,4.0,383,1030.0,100.0,1030.0,100.0,1030.0,100.0,1030.0,100.0,1030.0,130.0,1030.0,130.0,1030.0,100.0,
Pizza Boy,pizza,vegan,1321 E Colorado St,Glendale,91205,8182475555.0,2.0,4.5,406,930.0,2200.0,930.0,2200.0,930.0,2200.0,930.0,2245.0,930.0,2245.0,930.0,2330.0,930.0,2245.0,
The Hermosillo,wine bars,breweries,5125 York Blvd,Los Angeles,90042,3237396459.0,2.0,4.0,339,1700.0,200.0,1700.0,200.0,1700.0,200.0,1200.0,200.0,1200.0,200.0,1200.0,200.0,1200.0,200.0,
Eagle Rock Green Dragon,chinese,,1733 Colorado Blvd,Los Angeles,90041,3232558889.0,2.0,4.0,364,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,1100.0,2100.0,
Ramen of York,ramen,,5051 York Blvd,Los Angeles,90042,3239997988.0,2.0,4.0,344,1130.0,1500.0,1700.0,2300.0,1130.0,1500.0,1700.0,2300.0,1130.0,1500.0,1700.0,2300.0,1130.0,1500.0,
Thai Food Express,thai,,1361 E Colorado St,Glendale,91205,8189567844.0,1.0,4.5,333,1100.0,2100.0,1100.0,2100.0,1630.0,2100.0,1100.0,2100.0,1100.0,2100.0,,,,,
Sonny's Hideaway,american (new),cocktail bars,5137 York Blvd,Los Angeles,90042,3232552000.0,2.0,4.0,338,1700.0,100.0,1700.0,100.0,1700.0,100.0,1700.0,200.0,1700.0,200.0,1100.0,2400.0,,,
5 Line Tavern,cocktail bars,gastropubs,2136 Colorado Blvd,Los Angeles,90041,3232383838.0,2.0,4.0,326,1100.0,2200.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,200.0,1100.0,200.0,900.0,2400.0,
Thai Eagle Rox,thai,chinese,4601 York Blvd,Los Angeles,90041,3233490508.0,1.0,3.0,333,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2300.0,1130.0,2300.0,1130.0,2200.0,
Thai Touch Restaurant,thai,,1355 E Colorado St,Glendale,91205,8185071107.0,1.0,4.0,327,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,1130.0,2200.0,,,
Modan Eagle Rock Ramen,japanese,asian fusion,1757 Colorado Blvd,Los Angeles,90041,3237390411.0,2.0,4.5,301,1130.0,1500.0,1700.0,2130.0,1130.0,1500.0,1700.0,2130.0,1130.0,1500.0,1700.0,2130.0,1130.0,1500.0,
La Estrella Taco Truck,mexican,food trucks,York Blvd,Los Angeles,90042,,1.0,4.0,287,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,200.0,1100.0,200.0,1100.0,2400.0,
Pete's Blue Chip,burgers,american (traditional),1701 Colorado Blvd,Los Angeles,90041,3234789022.0,1.0,4.0,306,630.0,1930.0,630.0,1930.0,630.0,1930.0,630.0,1930.0,630.0,1930.0,630.0,1930.0,630.0,1930.0,
Armon's Restaurant,american (new),breakfast & brunch,5056 Eagle Rock Blvd,Los Angeles,90041,3234781440.0,1.0,4.0,280,600.0,1600.0,600.0,1600.0,600.0,1600.0,600.0,1600.0,600.0,1600.0,700.0,1500.0,700.0,1500.0,
Good Girl Dinette,vietnamese,diners,110 N Ave 56,Los Angeles,90042,3232578980.0,2.0,3.5,746,1100.0,2130.0,1100.0,2130.0,1100.0,2130.0,1100.0,2200.0,1000.0,2200.0,1000.0,2100.0,,,
Folliero's Italian Food and Pizza,italian,pizza,5566 N Figueroa St,Los Angeles,90042,3232540505.0,1.0,4.0,724,1100.0,2130.0,1100.0,2130.0,1100.0,2130.0,1100.0,2130.0,1100.0,2130.0,1200.0,2130.0,1200.0,2130.0,
Kitchen Mouse,cafes,vegetarian,5904 N Figueroa St,Highland park,90042,3232599555.0,2.0,4.5,571,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,700.0,1600.0,700.0,1600.0,
My Taco,mexican,,6300 York Blvd,Los Angeles,90042,3232562698.0,1.0,3.5,571,800.0,2100.0,800.0,2100.0,800.0,2100.0,800.0,2100.0,800.0,2200.0,800.0,2200.0,800.0,2100.0,
Dave's Chillin and Grillin,american (traditional),,5715 N Figueroa St,Los Angeles,90042,3234900988.0,1.0,4.0,485,1100.0,1900.0,1100.0,1900.0,1100.0,1900.0,1100.0,1900.0,1100.0,1900.0,1000.0,1800.0,,,
The Greyhound Bar & Grill,american (traditional),pubs,5570 N Figueroa St,Los Angeles,90042,3239000300.0,2.0,4.0,451,1200.0,100.0,1200.0,100.0,1200.0,100.0,1200.0,100.0,1200.0,200.0,1030.0,200.0,1030.0,2400.0,
Highland Park Bowl,bowling,pizza,5621 N Figueroa St,Los Angeles,90042,3232572695.0,2.0,4.0,380,1700.0,200.0,1700.0,200.0,1700.0,200.0,1700.0,200.0,1700.0,200.0,1100.0,200.0,1100.0,200.0,
Antigua Bread,bakeries,cafes,5703 N Figueroa St,Los Angeles,90042,3232599345.0,1.0,4.0,357,700.0,2000.0,700.0,2000.0,700.0,2000.0,700.0,2000.0,700.0,2000.0,800.0,1700.0,800.0,1700.0,
Amara Kitchen,coffee & tea,gluten-free,519 N Ave 64,Los Angeles,90042,3232552220.0,2.0,4.0,334,800.0,1800.0,800.0,1800.0,800.0,1800.0,800.0,1800.0,800.0,1800.0,800.0,1800.0,800.0,1800.0,
Cos&Pi,breakfast & brunch,coffee & tea,303 Pasadena Ave,South Pasadena,91030,6264606030.0,2.0,4.5,350,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1600.0,800.0,1500.0,800.0,1500.0,,,
Las Cazuelas Restaurant & Pupuseria,mexican,salvadoran,5707 N Figueroa St,Los Angeles,90042,3232554719.0,1.0,3.5,320,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2100.0,900.0,2200.0,900.0,2200.0,900.0,2100.0,
Monte 52,sandwiches,breakfast & brunch,5200 Monte Vista St,Los Angeles,90042,8186260822.0,1.0,4.5,279,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,2000.0,800.0,1800.0,900.0,1600.0,
Gloria's Cuisine LA,cafes,breakfast & brunch,231 N Ave 50,Los Angeles,90042,3237390400.0,2.0,4.5,293,900.0,1500.0,900.0,1500.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,900.0,2000.0,
Via-Mar Seafood Restaurant,seafood,mexican,5111 N Figueroa St,Los Angeles,90042,3232554929.0,1.0,4.0,262,900.0,2130.0,900.0,2130.0,900.0,2130.0,900.0,2130.0,900.0,2130.0,900.0,2130.0,900.0,2130.0,
Pat & Lorraines Coffee Shop,diners,american (traditional),4720 Eagle Rock Blvd,Los Angeles,90041,3232577926.0,2.0,3.5,266,630.0,1430.0,630.0,1430.0,630.0,1430.0,630.0,1430.0,630.0,1430.0,630.0,1500.0,700.0,1500.0,
Zweet Cafe,coffee & tea,cafes,4682 Eagle Rock Blvd,Los Angeles,90041,3233054038.0,1.0,4.5,307,700.0,1600.0,700.0,1600.0,700.0,1600.0,700.0,1600.0,700.0,1600.0,700.0,1600.0,700.0,1600.0,
Jugos Azteca,juice bars & smoothies,mexican,5213 York Blvd,Los Angeles,90042,3232544555.0,1.0,4.0,264,630.0,2100.0,630.0,2100.0,630.0,2100.0,630.0,2100.0,630.0,2100.0,630.0,2100.0,630.0,2100.0,
Jane,coffee & tea,breakfast & brunch,5830 York Blvd,Los Angeles,90042,3236751093.0,2.0,4.0,242,800.0,1500.0,800.0,1500.0,800.0,1500.0,800.0,1500.0,800.0,1500.0,800.0,1500.0,,,
U Pick Cafe,mediterranean,persian/iranian,4682 York Blvd,Los Angeles,90041,3233447443.0,1.0,4.5,253,1100.0,2000.0,1100.0,2000.0,1100.0,2000.0,1100.0,2000.0,1100.0,2000.0,1100.0,2000.0,1100.0,2000.0,
Cafe Birdie,cocktail bars,mediterranean,5631 N Figueroa St,Los Angeles,90042,3237396928.0,2.0,4.0,243,1730.0,2200.0,1730.0,2200.0,1730.0,2200.0,1730.0,2200.0,1730.0,2300.0,1000.0,1430.0,1700.0,2300.0,
La Estrella Tacos,mexican,,6103 N Figueroa St,Highland Park,90042,3239820179.0,1.0,3.0,245,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,2400.0,1100.0,200.0,1100.0,2400.0,
La Fuente Restaurant,mexican,,5530 Monte Vista St,Los Angeles,90042,3232586109.0,2.0,4.5,236,800.0,2030.0,800.0,2030.0,800.0,2030.0,800.0,2030.0,800.0,2030.0,800.0,2030.0,800.0,2030.0,
Delia's Restaurant,mexican,burgers,4501 York Blvd,Los Angeles,90041,3232567841.0,1.0,4.5,233,700.0,1700.0,700.0,1700.0,700.0,1700.0,700.0,1700.0,700.0,1700.0,700.0,1700.0,700.0,1600.0,
Thai Fantasy & Chinese,thai,chinese,5900 Monterey Rd,Los Angeles,90042,3232570580.0,1.0,3.5,213,1100.0,2130.0,1100.0,2130.0,1100.0,2130.0,1100.0,2130.0,1100.0,2130.0,1100.0,2130.0,1630.0,2130.0,
Civil Coffee,cafes,coffee & tea,5629 N Figueroa St,Los Angeles,90012,,2.0,4.0,217,700.0,1700.0,700.0,1700.0,700.0,1700.0,700.0,1700.0,700.0,1700.0,700.0,1700.0,700.0,1700.0,
Taco Fix Restaurant,mexican,gluten-free,5831 N Figueroa St,Los Angeles,90042,3237396697.0,1.0,3.5,241,800.0,2100.0,800.0,2100.0,800.0,2100.0,800.0,2200.0,800.0,2200.0,800.0,2200.0,800.0,2100.0,
